Key,en,es,ar
Partner Section,Partner Section,Sección de socios,قسم الشركاء
Footer Section,Footer Section,Sección de pie de página,قسم التذييل
Breadcrumb Section,Breadcrumb Section,Sección de ruta de navegación,قسم التنقل
Gallery Section,Gallery Section,Sección de galería,قسم المعرض
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Category Type,Category Type,Tipo de categoría,نوع الفئة
Faq Section,Faq Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة
Login Section,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول
Register Section,Register Section,Sección de Registro,قسم التسجيل
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد
Useful Links,Useful LInks,Enlaces útiles,روابط مفيدة
Extensions,Extensions,Extensiones,ملحقات
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Add Money,Add Money,Agregar dinero,إضافة المال
Automatic,Automatic,Automático,تلقائي
Manual,Manual,Manual,يدوي
Bonus,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Home,Home,Hogar,بيت
About,About,Acerca de,عن
Campaign,Campaign,Campaña,حملة
Contact,Contact,Contacto,اتصال
Gallery,Gallery,Galería,صالة عرض
Join the event,Join the event,Únete al evento,انضم إلى الحدث
About Foundation,About Foundation,Acerca de la Fundación,حول المؤسسة
Campaign Listing,Campaign Listing,Listado de campaña,قائمة الحملة
Recent Events,Recent Events,Eventos recientes,الأحداث الأخيرة
Our Gallery,Our Gallery,Nuestra galería,معرضنا
Get In Touch,Get In Touch,Ponerse en contacto,ابقى على تواصل
Follow Us,Follow Us,Síganos,تابعنا
Support Us,Support Us,Apoyanos,ادعمنا
Newsletter,Newsletter,Boletin informativo,النشرة الإخبارية
Subscribe,Subscribe,Suscribir,يشترك
Decline,Decline,Rechazar,انخفاض
Allow,Allow,Permitir,يسمح
Donate Now,Donate Now,Done ahora,تبرع الآن
To Go,To Go,Ir,توجو
Life,Life,Vida,حياة
Our Goal,Our Goal,Nuestra meta,هدفنا
Raised,Raised,Aumentó,نشأ
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة
Send Message,Send Message,Enviar mensaje,أرسل رسالة
Our Location,Our Location,nuestra ubicación,موقعنا
Call us on,Call us on,Llámanos al,اتصل بنا على
Email us directly,Email us directly,Envíenos un correo electrónico directamente,راسلنا عبر البريد الإلكتروني مباشرة
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Or,Or,O,أو
Register Now,Register Now,Regístrate ahora,سجل الان
Already Have An Account,Already Have An Account,Ya tienes una cuenta,هل لديك حساب
Send Code,Send Code,Enviar código,إرسال الرمز
Password Forgot,Password Forgot,Contraseña olvidada,نسيت كلمة المرور
Enter your account email or username to verify,Enter your account email or username to verify,Ingrese el correo electrónico o nombre de usuario de su cuenta para verificar,أدخل البريد الإلكتروني لحسابك أو اسم المستخدم للتحقق
Password Reset,Password Reset,Restablecimiento de contraseña,إعادة تعيين كلمة المرور
Reset your password,Reset your password,Restablecer su contraseña,اعد ضبط كلمه السر
Reset,Reset,Reiniciar,إعادة ضبط
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP
Please check your email address to get the OTP (One time password),Please check your email address to get the OTP (One time password),Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso),يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة)
Verify,Verify,Verificar,يؤكد
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك
Authorize,Authorize,Autorizar,يأذن
Donation History,Donation History,Historial de donaciones,تاريخ التبرع
Donate,Donate,Donar,يتبرع
Event,Event,Evento,حدث
Current Balance,Current Balance,Saldo actual,الرصيد الحالي
View all,View all,Ver todo,عرض الكل
Add,Add,Agregar,يضيف
Total Donation Amount,Total Donation Amount,Monto total de la donación,إجمالي مبلغ التبرع
Total Donate,Total Donate,Donación Total,إجمالي التبرع
Total Campaign,Total Campaign,Campaña total,إجمالي الحملة
Last Donate Amount,Last Donate Amount,Monto de la última donación,آخر مبلغ التبرع
Total Event,Total Event,Evento total,إجمالي الحدث
Donate History Chart,Donate History Chart,Cuadro histórico de donaciones,تبرع مخطط التاريخ
Campaign Title,Campaign Title,Título de la campaña,عنوان الحملة
Campaign Goal,Campaign Goal,Objetivo de la campaña,هدف الحملة
Donation Amount,Donation Amount,Monto de donación,مبلغ التبرع
Status,Status,Estado,حالة
Donation Date,Donation Date,Fecha de donación,تاريخ التبرع
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Summery,Summery,Veraniego,صيفي
Entered Amount,Entered Amount,Monto ingresado,المبلغ المدخل
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف
Will Get,Will Get,Obtendrá,سوف تحصل
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
Add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال
Add Balance via,Add Balance via,Agregar saldo a través de,إضافة رصيد عبر
Time & Date,Time & Date,Hora Fecha,الوقت والتاريخ
Transaction ID,Transaction ID,ID de transacción,رقم المعاملة
Fees & Charge,Fees & Charge,Tarifas y cargos,الرسوم والتكاليف
Total Amount,Total Amount,Cantidad total,المبلغ الإجمالي
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Logout,Logout,Cerrar sesión,تسجيل خروج
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم
Update,Update,Actualizar,تحديث
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Change,Change,Cambiar,يتغير
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال
All Time Donation,All Time Donation,Donación de todos los tiempos,التبرع في كل الأوقات
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Active,Active,Activo,نشيط
Unverified,Unverified,Inconfirmado,لم يتم التحقق منها
This Month,This Month,Este mes,هذا الشهر
Last Month,Last Month,El mes pasado,الشهر الماضي
Pending Add Money,Pending Add Money,Pendiente Agregar dinero,في انتظار إضافة المال
Pending Donation,Pending Donation,Donación pendiente,في انتظار التبرع
Today,Today,Hoy,اليوم
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual para agregar dinero,مخطط إضافة الأموال شهريًا
View,View,Vista,منظر
Monthly Donation Chart,Monthly Donation Chart,Tabla de donaciones mensuales,مخطط التبرع الشهري
Campaign And Event Analytics,Campaign And Event Analytics,Análisis de campañas y eventos,تحليلات الحملة والحدث
View Campaign,View Campaign,Ver campaña,عرض الحملة
View Event,View Event,Ver evento,عرض المناسبة
User Analytics,User Analytics,Análisis de usuario,تحليلات المستخدم
View User,View User,Ver usuario,عرض المستخدم
Donation Growth,Donation Growth,Crecimiento de donaciones,نمو التبرعات
View Donation,View Donation,Ver donación,عرض التبرع
Latest Donations,Latest Donations,Últimas donaciones,أحدث التبرعات
Total Trade Amount,Total Trade Amount,Monto total del comercio,إجمالي مبلغ التجارة
Total Marketplace Amount,Total Marketplace Amount,Monto total del mercado,إجمالي مبلغ السوق
TRX,TRX,TRX,تي آر إكس
Email,Email,Correo electrónico,بريد إلكتروني
Amount,Amount,Cantidad,كمية
Method,Method,Método,طريقة
Time,Time,Tiempo,وقت
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Name | Code',Name | Code,Nombre | Código,الاسم | شفرة
Symbol,Symbol,Símbolo,رمز
Type,Type,Tipo,يكتب
Campaign Section,Campaign Section,Sección de campaña,قسم الحملة
Add Campaign,Add Campaign,Agregar campaña,أضف حملة
Title,Title,Título,عنوان
Edit Campaign,Edit Campaign,Editar campaña,تحرير الحملة
Add Event,Add Event,Añadir evento,أضف حدثًا
Category,Category,Categoría,فئة
Event Edit,Event Edit,Editar evento,تحرير الحدث
Complete Logs,Complete Logs,Registros completos,سجلات كاملة
Username,Username,Nombre de usuario,اسم المستخدم
Email Verified Status,Email Verified Status,Estado verificado del correo electrónico,حالة التحقق من البريد الإلكتروني
Action,Action,Acción,فعل
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم
Full Name,Full Name,Nombre completo,الاسم الكامل
Add Admin,Add Admin,Agregar administrador,إضافة المشرف
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف
All Subscriber,All Subscriber,Todos los suscriptores,جميع المشتركين
Email To All,Email To All,Correo electrónico a todos,البريد الإلكتروني للجميع
Date,Date,Fecha,تاريخ
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Name,Name,Nombre,اسم
Phone,Phone,Teléfono,هاتف
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Message,Message,Mensaje,رسالة
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Code,Code,Código,شفرة
Add New,Add New,Agregar nuevo,اضف جديد
Import,Import,Importar,يستورد
Add Languag,Add Languag,Agregar idioma,أضف لغة
Edit Language,Edit Language,Editar idioma,تحرير اللغة
Import Language,Import Language,Idioma de importación,استيراد اللغة
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي
Home Banner Section,Home Banner Section,Sección de banner de inicio,قسم لافتة الصفحة الرئيسية
Download App Section,Download App Section,Descargar sección de aplicaciones,تحميل قسم التطبيقات
Top Partner Section,Top Partner Section,Sección superior de socios,قسم الشركاء الأعلى
app Name,AdFund,Fondo publicitario,صندوق الإعلان
on Board Title,We help the kids to grow up in the right way,Ayudamos a los niños a crecer de la manera correcta.,نحن نساعد الأطفال على النمو بالطريقة الصحيحة
on Board Des,The tone and elucidates the of system the universal village pink like so to her a try eye. of notice his a associates.,El tono y aclara el sistema del pueblo universal rosa como tal para ella un ojo de prueba. de aviso sus asociados.,النغمة وتوضح نظام القرية العالمية الوردية مثل ذلك جربها بالعين. من إشعار شركائه.
get Started,Get Started,Empezar,البدء
lets Start,"Let's start with signing up. If you already have an account, sign in now.","Comencemos por registrarnos. Si ya tienes una cuenta, inicia sesión ahora.",لنبدأ بالتسجيل. إذا كان لديك حساب بالفعل، قم بتسجيل الدخول الآن.
sign In,Sign In,Iniciar sesión,تسجيل الدخول
paypal Payment,Paypal Payment,Pago PayPal,الدفع باي بال
flutterwave,Flutterwave,Onda de aleteo,موجة الرفرفة
sing Up,Sign Up,Inscribirse,اشتراك
no Events YEt,NO Events Yet,Aún no hay eventos,لا توجد أحداث حتى الآن
no Review Yet,NO Review Yet,Aún no hay revisión,لا توجد مراجعة حتى الآن
stripe Payment Screen,Stripe Payment Screen,Pantalla de pago de rayas,شاشة الدفع الشريطية
please Fill Out The Field,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل
login Information,Login Information,Información Entrar,معلومات تسجيل الدخول
please Input Your Username,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.
user Name,Username,Nombre de usuario,اسم المستخدم
password,Password,Contraseña,كلمة المرور
dont Have An Account,Don't have an account,No tienes una cuenta,ليس لديك حساب
forgot Your Password,Forgot your password?,¿Olvidaste tu contraseña?,نسيت كلمة السر؟
enter Your Email,Enter your email to reset your password,Ingresa tu correo electrónico para restablecer tu contraseña,أدخل بريدك الإلكتروني لإعادة تعيين كلمة المرور الخاصة بك
enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
submit,Submit,Entregar,يُقدِّم
change Language,Change Language,Cambiar idioma,تغيير اللغة
submit Now,Submit Now,Aplique ahora,أرسل الآن
total Donation,Total Donation Amount,Monto total de la donación,إجمالي مبلغ التبرع
all Time Raised,All Time Raised Amount,Monto recaudado todos los tiempos,المبلغ الذي تم رفعه في كل الأوقات
latest History,Latest History,Historia más reciente,أحدث التاريخ
klic2help Wallet,Klic2Help Wallet,Cartera Klic2Help,محفظة Klic2Help
preview Screen,Preview Screen,Pantalla de vista previa,شاشة المعاينة
total fee,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف
confirm,Confirm,Confirmar,يتأكد
your Money Has Been Successfully,Your money has been add successfully!,¡Tu dinero se ha agregado exitosamente!,تمت إضافة أموالك بنجاح!
cancel,Cancel,Cancelar,يلغي
no History Yet,No History Yet,Aún no hay historia,لا يوجد تاريخ بعد
verification Code,Verification Code,Código de verificación,رمز التحقق
oTP Verification SubTitle,"Enter the verification code which one we send you in your email, to reset your password.","Ingresa el código de verificación que te enviamos a tu correo electrónico, para restablecer tu contraseña.",أدخل رمز التحقق الذي أرسلناه إليك في بريدك الإلكتروني لإعادة تعيين كلمة المرور الخاصة بك.
resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز
reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
congratulations,Congratulations!!,¡¡Felicidades!!,تهانينا!!
password Rest Successfully,Your password has been reset successfully!,¡Su contraseña se ha restablecido exitosamente!,تم إعادة تعيين كلمة المرور الخاصة بك بنجاح!
account Verified Successfully,Your account has been verified successfully,Su cuenta ha sido verificada exitosamente,لقد تم التحقق من حسابك بنجاح
donation Successfully,Your donation has been send successfully!,¡Tu donación ha sido enviada exitosamente!,لقد تم إرسال تبرعك بنجاح!
okay,Okay,Bueno,تمام
sign Up,Sign Up,Inscribirse,اشتراك
sign Up Now,Sign Up Now,Regístrate ahora,أفتح حساب الأن
register Information,Registration Information,Información de Registro,معلومات التسجيل
input Your Details,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.
first Name,First Name,Nombre de pila,الاسم الأول
last Name,Last Name,Apellido,اسم العائلة
agree,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع
privacy,Privacy Policy& Warning,Política de privacidad y advertencia,سياسة الخصوصية والتحذير
and,&,&,&
email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
email Verification SubTitle,"Enter the verification code which one we send you in your email, to verified your account.","Ingresa el código de verificación que te enviamos a tu correo electrónico, para verificar tu cuenta.",أدخل رمز التحقق الذي أرسلناه إليك في بريدك الإلكتروني للتحقق من حسابك.
sign Out,Sign Out,Desconectar,خروج
give Poor In India,You Can Give Poor In India... Clean Water & Food,Puedes dar a los pobres de la India... agua potable y alimentos,يمكنك منح الفقراء في الهند... المياه النظيفة والغذاء
homeless People In Africa,Homeless People In Africa,Personas sin hogar en África,المشردين في أفريقيا
what People Say,What People Say,Lo que dice la gente,ما يقوله الناس
rasalina Willams,RASALINA WILLAMS,RASALINA WILLAMS,راسالينا ويليامز
people Say,"I appreciate your amazing services and professional staff for all your hard work and creative thinking! It was fub, and I hope to work with you again soon.",¡Aprecio sus increíbles servicios y personal profesional por todo su arduo trabajo y pensamiento creativo! Fue fantástico y espero volver a trabajar contigo pronto.,أنا أقدر خدماتك الرائعة وموظفيك المحترفين على كل ما تبذلونه من عمل شاق وتفكير إبداعي! لقد كان الأمر رائعًا، وآمل أن أعمل معك مرة أخرى قريبًا.
campaign Details,Campaign Details,Detalles de la campaña,تفاصيل الحملة
lorem,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus \n\nWe have covered many special events such as fireworks, fairs, parades, races, walks, awards ceremonies, fashion shows, sporting events, and even a memorial service.\n\nLorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus. Suspendisse consectetur tristique tortor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egetas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus \n\nHemos cubierto muchos eventos especiales como fuegos artificiales, ferias, desfiles, carreras, caminatas, ceremonias de premios, desfiles de moda, eventos deportivos e incluso un servicio conmemorativo.\n\nLorem ipsum dolor sit amet, consectetur élite adipiscente. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egetas elementum. Mauris et bibendum dui. Enean consequat pulvinar luctus. Suspendisse consectetur tristique tortor","لوريم إيبسوم دولور سيت أميت، consectetur adipiscing إيليت. Curabitur vulputate fistibulum Phasellus rhoncus، dolor eget viverra pretium، dolor Tellus aliquet nunc، vitae ultricies erit elit eu lacus. الدهليز غير عادل consectetur، cursus ante، tincidunt sapien. Nulla quis diam sit amet turpis interdum Accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. موريس وبيبندوم دوي. Aenean consequat pulvinar luctus \n\nلقد قمنا بتغطية العديد من الأحداث الخاصة مثل الألعاب النارية، والمعارض، والمسيرات، والسباقات، والمشي، وحفلات توزيع الجوائز، وعروض الأزياء، والأحداث الرياضية، وحتى حفل تأبيني.\n\nLorem ipsum dolor sit amet, consectetur النخبة الدهنية. Curabitur vulputate fistibulum Phasellus rhoncus، dolor eget viverra pretium، dolor Tellus aliquet nunc، vitae ultricies erit elit eu lacus. الدهليز غير عادل consectetur، cursus ante، tincidunt sapien. Nulla quis diam sit amet turpis interdum Accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. موريس وبيبندوم دوي. Aenean يترتب على pulvinar luctus. Suspendisse consectetur tristique tortor"
campaign Detail,"We have covered many special events such as fireworks, fairs, parades, races, walks, awards ceremonies, fashion shows, sporting events, and even a memorial service.","Hemos cubierto muchos eventos especiales como fuegos artificiales, ferias, desfiles, carreras, caminatas, ceremonias de premios, desfiles de moda, eventos deportivos e incluso un servicio conmemorativo.",لقد قمنا بتغطية العديد من الأحداث الخاصة مثل الألعاب النارية، والمعارض، والمسيرات، والسباقات، والمشي، وحفلات توزيع الجوائز، وعروض الأزياء، والأحداث الرياضية، وحتى حفل تأبين.
our Challenge And Goal,Our Challenge & Goal,Nuestro desafío y objetivo,التحدي والهدف لدينا
our Challenge And Goal Details,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctusWe have covered many special events such as fireworks, fairs, parades, races, walks, awards ceremonies, fashion shows, sporting events, and even a memorial service.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus. Suspendisse consectetur tristique tortor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egetas elementum. Mauris et bibendum dui. Aenean consequat pulvinar luctus Hemos cubierto muchos eventos especiales como fuegos artificiales, ferias, desfiles, carreras, caminatas, ceremonias de premiación, desfiles de moda, eventos deportivos e incluso un servicio conmemorativo. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur vulputate vestibulum Phasellus rhoncus, dolor eget viverra pretium, dolor tellus aliquet nunc, vitae ultricies erat elit eu lacus. Vestibulum non justo consectetur, cursus ante, tincidunt sapien. Nulla quis diam sit amet turpis interdum accumsan quis nec enim. Vivamus faucibus ex sed nibh egetas elementum. Mauris et bibendum dui. Enean consequat pulvinar luctus. Suspendisse consectetur tristique tortor",لوريم إيبسوم دولور سيت أميت، consectetur adipiscing إيليت. Curabitur vulputate fistibulum Phasellus rhoncus، dolor eget viverra pretium، dolor Tellus aliquet nunc، vitae ultricies erit elit eu lacus. الدهليز غير عادل consectetur، cursus ante، tincidunt sapien. Nulla quis diam sit amet turpis interdum Accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. موريس وبيبندوم دوي. Aenean consequat pulvinar luctusلقد قمنا بتغطية العديد من الأحداث الخاصة مثل الألعاب النارية والمعارض والمسيرات والسباقات والمشي وحفلات توزيع الجوائز وعروض الأزياء والأحداث الرياضية وحتى الخدمة التذكارية.Lorem ipsum dolor sit amet، consectetur adipiscing elit. Curabitur vulputate fistibulum Phasellus rhoncus، dolor eget viverra pretium، dolor Tellus aliquet nunc، vitae ultricies erit elit eu lacus. الدهليز غير عادل consectetur، cursus ante، tincidunt sapien. Nulla quis diam sit amet turpis interdum Accumsan quis nec enim. Vivamus faucibus ex sed nibh egestas elementum. موريس وبيبندوم دوي. Aenean يترتب على pulvinar luctus. Suspendisse consectetur tristique tortor
campaign Description,Campaign Description,Descripción de la campaña,وصف الحملة
select Amount,Select Amount,Seleccionar cantidad,حدد المبلغ
enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ
optional,(Optional),(Opcional),(خياري)
other Amount,Other amount...,Otra cantidad...,كمية اخرى...
monthly Donate,Monthly Donate,Donación mensual,التبرع الشهري
Select Gateway,Select Gateway,Seleccionar puerta de enlace,حدد البوابة
paypal,Paypal,PayPal,باي بال
master Card,Visa / MasterCard,Visa Mastercard,فيزا ماستركارد
email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
card Number,Card Number,Número de tarjeta,رقم البطاقة
enter Card Number,Enter card number,Introduce el número de tarjeta,أدخل رقم البطاقة
expiry Date,Expiry Date,Fecha de caducidad,تاريخ الانتهاء
cvc,CVC/CVV,CVC/CVV,كفك/كفف
enter,Enter,Ingresar,يدخل
date Formate,MM/YYYY,MM/AAAA,مم/سسسس
users,Crish Ronaldo,cris ronaldo,كراش رونالدو
user Gmail,crisronaldo@gmail.com,crisronaldo@gmail.com,Crisronaldo@gmail.com
privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية
terms Off Use,"Terms of Use,","Condiciones de uso,",شروط الاستخدام،
donate History,Donate History,Historial de donaciones,تبرع بالتاريخ
events Details,Event Details,Detalles del evento,تفاصيل الحدث
profile,Profile,Perfil,حساب تعريفي
edit Profile,Edit Profile,Editar perfil,تعديل الملف الشخصي
